Unnamed: 0,participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,sender_role,recipient_role,body,intent,,timestamp,,recipient__code,recipient_role,catalog,parameter_db,sender_reqs_at_message,sender_pars_at_message
10,umtzl2qt,1,11,r8fheelh,1-engine_design-3-1-3,piston,crankshaft,I've just broadcasted the most recent simulation but this will definitely not be the final one.,Providing information,,1554813653,,u76uc0tf,crankshaft,0,0,"""{\""N\"": 6500, \""T\"": 220, \""NC\"": 4, \""P\"": 130000.0, \""LDr\"": 1.75, \""m\"": 27.17, \""fos\"": 0.61}""","""{\""D\"": 85, \""c\"": 150.0, \""t_f\"": 12.0, \""ds\"": 40.0}"""
11,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,Sounds good,Accepting information/Affirmation,,1554813669,,2wcqr3wm,piston,0,0,"""{\""N\"": 3000, \""T\"": 8, \""NC\"": 1, \""P\"": 4000.0, \""LDr\"": 1.2, \""m\"": 2.08, \""fos\"": 0.57}""","""{\""D\"": 105.0, \""c\"": 300.0, \""t_f\"": 51.0, \""ds\"": 60.0}"""
12,umtzl2qt,1,16,f6uohlbr,1-engine_design-4-1-5,piston,pistonpin,yes i will broadcast it,Accepting information/Affirmation,,1554813682,,vkz9lv6g,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 40.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
13,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-1-3,crankshaft,piston,Sounds good! I just tried my middle values and will broadcast that.,Accepting information/Affirmation,,1554813689,,r8fheelh,piston,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 17.7, ""fos"": 0}","{""D"": 105.0, ""c"": 150.0, ""t_f"": 51.0, ""ds"": 60.0}"
14,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-2-3,crankshaft,flywheel,Thank you for the information,Accepting information/Affirmation,,1554813700,,jyel22ui,flywheel,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 17.7, ""fos"": 0}","{""D"": 105.0, ""c"": 150.0, ""t_f"": 51.0, ""ds"": 60.0}"
15,umtzl2qt,1,9,3tug4vpx,1-engine_design-2-1-4,conrod,piston,Hey I am the conrod I was curious as to what you thought a good piston diameter would be?,Enquiring information,,1554813702,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 1.96, ""fos"": 0}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
16,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-5,piston,pistonpin,45 seems decent,Providing information,,1554813761,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.91, ""fos"": 0.57}","{""D"": 40.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
17,umtzl2qt,1,17,xgie3fd6,1-engine_design-4-2-3,flywheel,crankshaft,How does the flywheel thickness factor into the bearing support offset and crankshaft mass?,Understanding the dependency,,1554813763,,83jw4odn,crankshaft,0,0,"""{\""N\"": 3000, \""T\"": 8, \""NC\"": 1, \""P\"": 4000.0, \""LDr\"": 1.2, \""m\"": 2.91, \""fos\"": 0.57}""","""{\""D\"": 40.0, \""c\"": 60.0, \""t_f\"": 10.0, \""ds\"": 15.0}"""
18,umtzl2qt,1,5,l675ut2q,1-engine_design-1-1-5,pistonpin,piston,"Hi, I need the piston diameter D",Enquiring information,,1554813766,,mk86yvi3,piston,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 24.43, ""fos"": 0.58}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
19,umtzl2qt,1,14,vj78gm4z,1-engine_design-3-1-4,conrod,piston,"My design depends on the piston diameter, what happens if you decrease it? ",Understanding the dependency,,1554813772,,r8fheelh,piston,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 20.01, ""fos"": 0}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
20,umtzl2qt,1,8,ntprw190,1-engine_design-2-2-3,crankshaft,flywheel,Increasing the value of c presents two adverse cases where mass increases and FOS decreases so I'm tending towards c = 60,Monitoring the system objectives and their tradeoff,,1554813773,,4ttkk1u5,flywheel,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
21,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,Alright I can definitely work with that,Accepting information/Affirmation,,1554813782,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
22,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-4,piston,conrod,"45 seems decent, lower if we need to reduce mass",Monitoring the system objectives and their tradeoff,,1554813789,,3tug4vpx,conrod,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.91, ""fos"": 0.57}","{""D"": 40.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
23,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,"alright, what fos #s are you getting. my lowest fos situation is still 323",Enquiring information,,1554813806,,ntprw190,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.07, ""fos"": 0.57}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 30, ""ds"": 15}"
24,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,?,Enquiring information,,1554813809,,ntprw190,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.07, ""fos"": 0.57}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 30, ""ds"": 15}"
25,umtzl2qt,1,12,jyel22ui,1-engine_design-3-2-3,flywheel,crankshaft,"Based on my simulations, it seems like a smaller value of (c) will result in an overall higher FOS, do you agree?",Monitoring the system objectives and their tradeoff,,1554813811,,u76uc0tf,crankshaft,0,0,"""{\""N\"": 6500, \""T\"": 220, \""NC\"": 4, \""P\"": 130000.0, \""LDr\"": 1.75, \""m\"": 24.43, \""fos\"": 0.58}""","""{\""D\"": 75.0, \""c\"": 150.0, \""t_f\"": 12.0, \""ds\"": 40.0}"""
26,umtzl2qt,1,8,ntprw190,1-engine_design-2-2-3,crankshaft,flywheel,7.96 has been the best achieved thus far,Providing information,,1554813828,,4ttkk1u5,flywheel,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
27,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,based on c = 60?,Enquiring information,,1554813839,,ntprw190,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.07, ""fos"": 0.57}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 30, ""ds"": 15}"
28,umtzl2qt,1,9,3tug4vpx,1-engine_design-2-1-4,conrod,piston,Sounds good thank you!,Accepting information/Affirmation,,1554813843,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 1.96, ""fos"": 0}","{""D"": 105.0, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
29,umtzl2qt,1,18,83jw4odn,1-engine_design-4-2-3,crankshaft,flywheel,"It affects the design variable ""c"", which the length of the bearing support offset",Providing information,,1554813843,,xgie3fd6,flywheel,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 60.0, ""t_f"": 51.0, ""ds"": 60.0}"
30,umtzl2qt,1,11,r8fheelh,1-engine_design-3-1-4,piston,conrod,"that depends on what the thickness of the piston is for me, if I keep it the same and decrease it the mass goes down but so does the factor of safety, I'm trying to get it around 2 w/ lowest mass",Monitoring the system objectives and their tradeoff,,1554813845,,vj78gm4z,conrod,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 24.43, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12.0, ""ds"": 40.0}"
31,umtzl2qt,1,18,83jw4odn,1-engine_design-4-2-3,crankshaft,flywheel,"Increasing ""c"" increases the mass and decreases the FOS",Monitoring the system objectives and their tradeoff,,1554813875,,xgie3fd6,flywheel,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 60.0, ""t_f"": 51.0, ""ds"": 60.0}"
32,umtzl2qt,1,8,ntprw190,1-engine_design-2-2-3,crankshaft,flywheel,"Yes, but I'm iterating to determine dependence on other parameters rn",Exploration,,1554813903,,4ttkk1u5,flywheel,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
33,umtzl2qt,1,17,xgie3fd6,1-engine_design-4-2-3,flywheel,crankshaft,"Does increasing the flywheel thickness increase or decrease ""c""?",Enquiring information,,1554813905,,83jw4odn,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.87, ""fos"": 0.57}","{""D"": 45, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
34,umtzl2qt,1,18,83jw4odn,1-engine_design-4-2-3,crankshaft,flywheel,"If you could reduce your ""tf"" variable that would be great :)",Providing information,,1554813913,,xgie3fd6,flywheel,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 60.0, ""t_f"": 51.0, ""ds"": 60.0}"
35,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-2-3,crankshaft,flywheel,That is what my document specifies. I will keep c low unless the piston needs it to be higher,Providing information,,1554813923,,jyel22ui,flywheel,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 29.28, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12.0, ""ds"": 40.0}"
36,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,Wanna do me a favor and broadcast the value of 45,Requesting for help,,1554813923,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
37,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-5,piston,pistonpin,"it should be, no?",Accepting information/Affirmation,,1554813941,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.87, ""fos"": 0.57}","{""D"": 45, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
38,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,"alright. fos increases with df, so rn i have it minimized, but can increase if needed.",Providing information,,1554813948,,ntprw190,crankshaft,0,0,"""{\""N\"": 3000, \""T\"": 8, \""NC\"": 1, \""P\"": 4000.0, \""LDr\"": 1.2, \""m\"": 2.88, \""fos\"": 0.57}""","""{\""D\"": 105.0, \""c\"": 300.0, \""t_f\"": 30, \""ds\"": 15}"""
39,umtzl2qt,1,8,ntprw190,1-engine_design-2-3-5,crankshaft,pistonpin,what seems to be the ideal piston bore diameter on your end? Could you explain how it affects mass and FOS?,Understanding the dependency,,1554813950,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
40,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,Yup thats my bad,Accepting information/Affirmation,,1554813954,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 3.26, ""fos"": 0.57}","{""D"": 40.0, ""c"": 60.0, ""t_f"": 25, ""ds"": 20}"
41,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-5,piston,pistonpin,does it help you if I reduce that value at all?,Enquiring information,,1554813957,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.87, ""fos"": 0.57}","{""D"": 45, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
42,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-4,piston,conrod,does it help you if I reduce that value at all?,Enquiring information,,1554813959,,3tug4vpx,conrod,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.87, ""fos"": 0.57}","{""D"": 45, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
43,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,my system is probably not the limiting part,Providing information,,1554813959,,ntprw190,crankshaft,0,0,"""{\""N\"": 3000, \""T\"": 8, \""NC\"": 1, \""P\"": 4000.0, \""LDr\"": 1.2, \""m\"": 2.88, \""fos\"": 0.57}""","""{\""D\"": 105.0, \""c\"": 300.0, \""t_f\"": 30, \""ds\"": 15}"""
44,umtzl2qt,1,17,xgie3fd6,1-engine_design-4-2-3,flywheel,crankshaft,Sure thing,Accepting information/Affirmation,,1554813961,,83jw4odn,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.87, ""fos"": 0.57}","{""D"": 45, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
45,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-3-4,crankshaft,conrod,"Hello rod designer. The crankshaft doesn't depend directly on your system, but please tell me if anything that I do affects you.",Providing information,,1554813962,,vj78gm4z,conrod,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 29.28, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12.0, ""ds"": 40.0}"
46,umtzl2qt,1,18,83jw4odn,1-engine_design-4-3-4,crankshaft,conrod,Hey! How does the value of my crank pin diameter affect your design?,Enquiring information,,1554813962,,eftpi67a,conrod,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.08, ""fos"": 0.57}","{""D"": 105.0, ""c"": 60.0, ""t_f"": 51.0, ""ds"": 60.0}"
47,umtzl2qt,1,2,kcomme9l,1-engine_design-1-2-3,flywheel,crankshaft,"you're in charge of the crankshaft bearing offset, right?",Enquiring information,,1554813972,,8mfb82n7,crankshaft,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 30.78, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12, ""ds"": 50}"
48,umtzl2qt,1,19,eftpi67a,1-engine_design-4-1-4,conrod,piston,Hello.  Have you determined what you would like the piston bore diameter (D) to be?,Enquiring information,,1554813974,,f6uohlbr,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.88, ""fos"": 0.57}","{""D"": 50, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
49,umtzl2qt,1,2,kcomme9l,1-engine_design-1-2-3,flywheel,crankshaft,What does changing that do?,Exploration,,1554813980,,8mfb82n7,crankshaft,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 30.78, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12, ""ds"": 50}"
50,umtzl2qt,1,10,cbb51ylv,1-engine_design-2-1-5,pistonpin,piston,Yeah but 45 should be fine if you dont want to go lower,Understanding the dependency,,1554813987,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.88, ""fos"": 0.57}","{""D"": 45, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
51,umtzl2qt,1,13,u76uc0tf,1-engine_design-3-3-5,crankshaft,pistonpin,"Hello pistonpin. The crankshaft doesn't dep3end directly on your system, but please tell me if anything that I do affects you.",Providing information,,1554813991,,sjwz5udf,pistonpin,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 29.28, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12.0, ""ds"": 40.0}"
52,umtzl2qt,1,17,xgie3fd6,1-engine_design-4-2-3,flywheel,crankshaft,"If it's important, increasing ""tf"" increases mass but decreases FOS",Exploration,,1554814008,,83jw4odn,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.47, ""fos"": 0.57}","{""D"": 45, ""c"": 60.0, ""t_f"": 10.0, ""ds"": 15.0}"
53,umtzl2qt,1,9,3tug4vpx,1-engine_design-2-1-4,conrod,piston,Not much it doesn't really do anything to the factor of safety but it brings the mass down,Providing information,,1554814010,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.88, ""fos"": 0.57}","{""D"": 45, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
54,umtzl2qt,1,11,r8fheelh,1-engine_design-3-1-5,piston,pistonpin,Right now it says we have an excellent design,Providing information,,1554814016,,sjwz5udf,pistonpin,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 34.34, ""fos"": 2.1}","{""D"": 80, ""c"": 150.0, ""t_f"": 12, ""ds"": 50}"
55,umtzl2qt,1,19,eftpi67a,1-engine_design-4-3-4,conrod,crankshaft,I do not think it has any effect,Suggesting information,,1554814031,,83jw4odn,crankshaft,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.88, ""fos"": 0.57}","{""D"": 50, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
56,umtzl2qt,1,14,vj78gm4z,1-engine_design-3-2-4,conrod,flywheel,we have excellent quality right now,,,1554814033,,jyel22ui,flywheel,0,0,"""{\""N\"": 6500, \""T\"": 220, \""NC\"": 4, \""P\"": 130000.0, \""LDr\"": 1.75, \""m\"": 34.15, \""fos\"": 2.32}""","""{\""D\"": 105.0, \""c\"": 300.0, \""t_f\"": 51.0, \""ds\"": 60.0}"""
57,umtzl2qt,1,11,r8fheelh,1-engine_design-3-1-2,piston,flywheel,Have you broadcasted your most recent design?,,,1554814035,,jyel22ui,flywheel,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 34.34, ""fos"": 2.1}","{""D"": 80, ""c"": 150.0, ""t_f"": 12, ""ds"": 50}"
58,umtzl2qt,1,14,vj78gm4z,1-engine_design-3-4-5,conrod,pistonpin,we have excellent quality right now,,,1554814036,,sjwz5udf,pistonpin,0,0,"""{\""N\"": 6500, \""T\"": 220, \""NC\"": 4, \""P\"": 130000.0, \""LDr\"": 1.75, \""m\"": 34.15, \""fos\"": 2.32}""","""{\""D\"": 105.0, \""c\"": 300.0, \""t_f\"": 51.0, \""ds\"": 60.0}"""
59,umtzl2qt,1,7,4ttkk1u5,1-engine_design-2-2-3,flywheel,crankshaft,"just reduced thickness to reduce mass, increased fos a bit",Exploration,,1554814037,,ntprw190,crankshaft,0,0,"""{\""N\"": 3000, \""T\"": 8, \""NC\"": 1, \""P\"": 4000.0, \""LDr\"": 1.2, \""m\"": 2.28, \""fos\"": 0.57}""","""{\""D\"": 45, \""c\"": 60.0, \""t_f\"": 10, \""ds\"": 15}"""
60,umtzl2qt,1,6,2wcqr3wm,1-engine_design-2-1-5,piston,pistonpin,"I can probably drop some mass out of my part, but can also take that out of other parts",Exploration,,1554814039,,cbb51ylv,pistonpin,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.28, ""fos"": 0.57}","{""D"": 45, ""c"": 300.0, ""t_f"": 51.0, ""ds"": 60.0}"
61,umtzl2qt,1,9,3tug4vpx,1-engine_design-2-1-4,conrod,piston,"the mass was 0.24 with the diameter at 70, but with the diameter at 45 it was 0.17",Exploration,,1554814041,,2wcqr3wm,piston,0,0,"{""N"": 3000, ""T"": 8, ""NC"": 1, ""P"": 4000.0, ""LDr"": 1.2, ""m"": 2.88, ""fos"": 0.57}","{""D"": 45, ""c"": 60.0, ""t_f"": 30, ""ds"": 15}"
62,umtzl2qt,1,15,sjwz5udf,1-engine_design-3-1-5,pistonpin,piston,looks like we're done?,NAN,,1554814043,,r8fheelh,piston,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 30.86, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12, ""ds"": 60}"
63,umtzl2qt,1,15,sjwz5udf,1-engine_design-3-3-5,pistonpin,crankshaft,looks like we're done?,Enquiring information,,1554814045,,u76uc0tf,crankshaft,0,0,"{""N"": 6500, ""T"": 220, ""NC"": 4, ""P"": 130000.0, ""LDr"": 1.75, ""m"": 30.86, ""fos"": 0.58}","{""D"": 75.0, ""c"": 150.0, ""t_f"": 12, ""ds"": 60}"
