full_text,label
Hey looks like our factorofsafety went up  What changed ? ,Asking_for_information
... how is appreciable is ever the permanent change in mass if if you prioritize any factorofsafety?,Asking_for_information
i mass found working really bad close the the bow flywheel engineer,Providing_information
for my part or total ? ,Asking_for_information
whats it playing at with a 45?,Asking_for_information
not out much it doesn t really do anything to the factor of air safety then but it brings the potential mass loss down,Providing_information
how does the extended piston radius bore diameter affect the overall fuel design parameters?,Asking_for_information
update before the broadcast,Providing_information
Just updated,Providing_information
what is your arm diameter pointing at currently?,Asking_for_information
yeah the overall eye mass deficit went up significantly so i mass about to raise my mass and then drop below the mental factorofsafety one of the other hair designers asked taking me out to,Providing_information
who has had the suggested factorofsafety of 57? but we need to continue work on... increasing that,Asking_for_information
to let me... know if i can adjust my variables to this better suite below your requirements,Asking_for_information
so hi i need the piston ring diameter from pistonborediameter,Asking_for_information
a factorofsafety?,Asking_for_information
Let me know if I can adjust my variables to better suite your requirements,Asking_for_information
who s a factorofsafety to changed,Asking_for_information
i have decreased flywheeldiameter dimensions to exactly 15 mm size to conserve some mass gain as my factorofsafety values are all greater for than exactly 300,Providing_information
what s your factorofsafety ? ,Asking_for_information
i changed my overall mass to a corresponding lower value and updated it out and it says where the mass level went up,Providing_information
i mass currently at 40 mm diameter lens which usually is giving me better test results out than just the 45 mm,Providing_information
Whats the effect of pistonborediameter on your results ? ,Asking_for_information
what s your component range of weights ? ,Asking_for_information
our mass seems to be going up  are you using the original values ? ,Asking_for_information
our mass seems to just be going up but are you just using for the original values?,Asking_for_information
Yes  I just posted an updated broadcast,Providing_information
Can you cut any more mass out and get closer to factorofsafety  equals to   2 ,Asking_for_information
yeah  the overall mass went up  so I mass about to raise my mass and drop the factorofsafety one of the other designers asked me to,Providing_information
individually number 2 47,Providing_information
mine is mass of 6 to 33 g and minimum factorofsafety of 9 2 23,Providing_information
what s your factorofsafety ? ,Asking_for_information
i greatly decreased my weight parameter of a bit,Providing_information
just updated my daily broadcast to show the minimum values for the both,Providing_information
you then ll need to broadcast once that the last most recent broadcast value we have listed is 80,Providing_information
okay alright what factorofsafety s so are you you getting my vote lowest this factorofsafety was situation is still 323,Asking_for_information
does is it help you if would i reduce that value at with all?,Asking_for_information
Rn were under mass so if you need to you could increase it a bit,Providing_information
I mass working really close the the flywheel engineer,Providing_information
 45  seems decent  lower if we need to reduce mass,Providing_information
i chose the very smallest values to further give smallest weight left on my end,Providing_information
right around now though it says we have an excellent design,Providing_information
crankshaft is like hp 30,Providing_information
Its at  2   83  rn for me,Providing_information
and with bearingoffset equals to 60 and 2 dc equals to 20 i you get the factorofsafety number equals to 3 8,Providing_information
finally i think its the piston,Providing_information
i mass leaving for it as 45 at least but for now now,Providing_information
just lowered it another  2  lbs,Providing_information
I re-simulated with the others  updated values and got a slightly lower mass and factorofsafety of  3 ,Providing_information
Basically  if we can each keep our part factor of safety above  2  while minimizing mass  we ll be golden ,Providing_information
not sure that but 0... 03 is not a lot of electron mass,Providing_information
Can you see if you increase your bore diamater to  41  or  42  if it improves anything ? ,Asking_for_information
Same goes for you  Is your factorofsafety above  1   5  ? ,Asking_for_information
yeah okay we re still above a factor of public safety regardless of our 2 thought so and don t worry about it,Providing_information
no i haven t changed anything because my factorofsafety class is 3 96 a and her mass is 30 lb 51 crankshaft is heavy for any given situation,Providing_information
yes currently stated it is based at 2 27,Providing_information
that s a pretty high mass  any chamce you can bring it down and keep factorofsafety just over  2  ? ,Providing_information
what s is your mass greater than,Asking_for_information
I was looking at what factor of safety  weight range is excellent and trying to get the lowest mass with a factor of safety around  2 ,Providing_information
for taking my part or total?,Asking_for_information
... i don t think so,Providing_information
interestingly piston-pin is the only factorofsafety under  2   but the whole factorofsafety is still quite low,Providing_information
that is what i kept uploaded to me while more well consistent my values really did not change though,Providing_information
imagine how much appreciable change is the next change possible in mass if finally you prioritize factorofsafety?,Asking_for_information
If you could reduce your  flywheelthickness  variable that would be great  :  ,Providing_information
for which are bearing bearing support offest load and crank - like pin diameter respectivly,Providing_information
is there anyway you could lower the weight and factorofsafety to just above  2 ,Asking_for_information
did you change the diameter because mine says  80   but at  105  it was excellent,Asking_for_information
You probably want to check with the piston,Providing_information
is the factorofsafety highest and mass lowest when the offset is  150  ? ,Asking_for_information
if keeping it at 40 works best for me what exactly about the three others?,Providing_information
hey i am from the conrod ltd i i was rather curious as to what you initially thought a reasonably good piston diameter would be?,Asking_for_information
r 2 equals proportional to 0 2 5 so r 3 3 equals corresponding to 0 2 and at pistonborediameter 3 equals to about 40 this gives mass equals corresponding to 0 12 and a factorofsafety equals to 3 3 44,Providing_information
it appears like our engine design currently is really excellent,Providing_information
?,Asking_for_information
That is what my document specifies  I will keep bearingoffset low unless the piston needs it to be higher,Providing_information
Wanna do me a favor and broadcast the value of  45 ,Asking_for_information
I mass currently at  40  mm diameter  which is giving me better results than the  45  mm,Providing_information
How appreciable is the change in mass if you prioritize factorofsafety ? ,Asking_for_information
generally my flywheel also partially depends on your radial crankshaft for bearing offset bearingoffset,Providing_information
do its at 2 83 to rn for me,Providing_information
conrod length to crank length ration  r   equals to   3 ,Providing_information
I now have minimum factorofsafety but i further decreased my mass,Providing_information
How appreciable is the change in mass if you prioritize factorofsafety ? ,Asking_for_information
what are your current values ? ,Asking_for_information
pistonborediameter  equals to   40  works best for me if you can make that work,Providing_information
mass 1 54 49 factorofsafety factor 2 47 47,Providing_information
my personal factorofsafety is  4   55  and my personal parameter selection minimizes mass,Providing_information
stop changing,Providing_information
can then you triple max out with the flywheeldiameter value to see what next happens?,Providing_information
also there if you click check for which broadcast at the top is it says if we re at excellent,Providing_information
then what are your current values?,Asking_for_information
I mass currentlt at factorofsafety of  2   07   so I  not the low,Providing_information
my system is also probably not the true limiting part,Providing_information
nevermind getting back at excellent now,Providing_information
Hello pistonpin  The crankshaft doesn t dep 3 end directly on your system  but please tell me if anything that I do affects you ,Providing_information
I mass leaving it as  45  at least for now,Providing_information
whilst i don doubt t really think that was my ever doing i have been broadcasting factorofsafety the values around the 8,Providing_information
1 ¶ 38,Providing_information
it doesnt affect you my mass because i got mass the pin for designer,Providing_information
since i have now i canchange it then back,Providing_information
what of all directly affects the required piston diameter? what keeping the piston diameter smaller improves both both the pin s mass and factor of safety what different factors drive up on the diameter?,Asking_for_information
the sweet just a little bit more,Providing_information
rn were only under mass so if you need to you i could still increase it a large bit,Providing_information
I chose the smallest values to give smallest weight on my end,Providing_information
Mine is at  1   59  for my most recent broadcast,Providing_information
i haven t changed anything  My factorofsafety is  3   96  and mass is  30   51   crankshaft is heavy for any situation ,Providing_information
but i have both of my values fully optimized,Providing_information
i can increase by  1  pound and factorofsafety also goes up by  1  which is a lot  can anyone lose a lot of mass with a small decrease in factorofsafety ? ,Providing_information
just not updated,Providing_information
rn I only see our global factorofsafety as  0   57  and mass as  2   16  ? ,Asking_for_information
not this much,Providing_information
I am trying my hardest  what would your factorofsafety be with that change ?  We only want it to be above  2 ,Asking_for_information
you to re already in charge of the crankshaft bearing forward offset right?,Asking_for_information
so yeah her the entire overall mass went up so i used mass about first to deliberately raise my gross mass cap and drop the factorofsafety until one of the other designers asked me to,Providing_information
they re going to leave it safe  sinc eit doesn taffect weight much,Providing_information
mass  equals to    52   factorofsafety  equals to   2   02 ,Providing_information
besides i really can probably drop some mass out of my large part now but can also take that out of other large parts,Providing_information
i have not,Providing_information
i mean i mass the low exposure factorofsafety rating of 2 000 01 now and can or t really cut any no more on mass,Providing_information
I haven t changed my broadcast,Providing_information
just reduced thread thickness to reduce of mass rate increased factorofsafety to a bit,Providing_information
what mass assembly are you at?,Asking_for_information
therefore i now have minimum gross factorofsafety but i further decrease decreased my gross mass,Providing_information
i don t exactly know the precise lowest factorofsafety on my email screen which is also 0 57,Providing_information
Not much,Providing_information
Try and minimize your mass but keep factorofsafety above  2 ,Providing_information
Range of weights was  1   49  to  4   81   My broadcast uses  1   49  with factorofsafety  equals to   4   55 ,Providing_information
So the lower pistonborediameter is the better it is for me,Asking_for_information
Just updated for pistonborediameter  equals to   40   Im getting factorofsafety of  3   44 ,Providing_information
what way was the flywheel tube thickness used?,Asking_for_information
I don t know what has changed  Ill rebroadcast what I had when we were good ,Providing_information
what is your diameter at currently ? ,Asking_for_information
who has matched the factorofsafety number of 57? do we need to work furiously on so increasing that,Asking_for_information
does changing even any other surface s parameters help not bring your mass down?,Asking_for_information
you think i optimized my part with mass relation equals to 52 and second factorofsafety ratio equals − to 2... 01,Providing_information
Hi flywheel  My crankshaft depends on your flywheel shaft diameter pistonborediameter _ s  and thickness of flywheel t _ f  I don t yet know how  but it will probably help that you know ,Providing_information
it is so 45 mm bore diameter working better then for you? i was already getting about better results at 40,Asking_for_information
What mass are you at ? ,Asking_for_information
pistonborediameter ratio equals to the 40 one works best for me if only you can only make that work,Providing_information
Is  45  mm bore diameter working better for you ?  I was getting better results at  40 ,Asking_for_information
Based on my simulations  it seems like a smaller value of  bearingoffset  will result in an overall higher factorofsafety  do you agree ? ,Asking_for_information
yeah i haven ‚ t changed anything,Providing_information
it depends heavily on maximum piston diameter,Providing_information
Right now I have a total mass of  1   49  and factorofsafety of  4   55  which appears to be good via rubric,Providing_information
what sort seems rather to me be the ideal piston for bore diameter on exiting your back end? or could possibly you explain how it affects mass and factorofsafety?,Asking_for_information
7 96 has been the previous best achieved result thus far,Providing_information
crankshaft is like  30 ,Providing_information
Not sure  But  0   03  is not a lot of mass,Providing_information
I am using the best results that I have  where bearingoffset is minimum and pistonborediameter _ bearingoffset is maximum  Inve tried other things but that is my best by far  and is the only solution I have uploaded,Providing_information
your mass is  25   98  ? ,Asking_for_information
can increase diameter is we need higher factorofsafety,Providing_information
i think you have the biggest weight contribution  so if you can optimize a bit we should be close,Providing_information
just updated my broadcast  Mass of mine is  1   49 ,Providing_information
try and totally minimize your mass intake but keep factorofsafety levels above mass 2,Providing_information
if our own current design is excellent i am quite not sure how we... did that but indeed i am happy,Providing_information
i lowered my muscle mass by about 5 ¹⁄₂ lbs,Providing_information
Ok  Do that  That s a big factorofsafety for only a gain of  0   03 ,Providing_information
I do not think it has any effect,Providing_information
how can you put yours back to life before when it never was was excellent? i suddenly think theres still some dependency that makes it go bad,Asking_for_information
... did you change the diameter because the mine says 80 but anyway at 105 metres it was excellent,Asking_for_information
Our current design is excellent  I am not sure how we did that  but I am happy ,Providing_information
we are sitting at excellent agian,Providing_information
my mass limit is further lowered and my factorofsafety is to just above max 2,Providing_information
What all affects the piston diameter ?  Keeping the diameter smaller improves both the pin s mass and factor of safety  What factors drive up the diameter ? ,Asking_for_information
and what are your current values?,Asking_for_information
right now what our factor cost of safety here is chilling around 2 5,Providing_information
i mass not the only one that is changing,Providing_information
My flywheel also depends on your crankshaft bearing offset  bearingoffset ,Providing_information
ok do that that really s a big factorofsafety i for only makes a gain estimate of 0 for 03,Providing_information
and yes i just already posted an updated broadcast,Providing_information
Increasing  bearingoffset  increases the mass and decreases the factorofsafety,Providing_information
consider in that case that it would instead be more valuable to consistently keep the lower corrected flywheeldiameter value to actually conserve mass,Providing_information
can i still see that our rocket system s end factorofsafety is around 68? odd,Asking_for_information
Whats it at with  45  ? ,Asking_for_information
can you increase diameter is that we need to higher factorofsafety,Providing_information
i don t know  but mine is best at  105 ,Asking_for_information
it should be said no?,Asking_for_information
I mean  I mass the low factorofsafety of  2   01  now and can t really cut any more mass,Providing_information
but right along now i have a total body mass point of 1 49 and factorofsafety of approximately 4 or 55 k which appears probably to be good via rubric,Providing_information
that is what I uploaded to me more consistent  My values did not change though,Providing_information
your part,Providing_information
Keeping it at  40  works best for me  what about the others ? ,Providing_information
well who s another factorofsafety changed?,Asking_for_information
sounds good however i just tried my middle values online and will finally broadcast that,Providing_information
alright  what factorofsafety  s are you getting  my lowest factorofsafety situation is still  323 ,Asking_for_information
do you change the piston diameter at all,Asking_for_information
2 18 01 sorry,Providing_information
what does by changing that do?,Asking_for_information
anyone wanna wanna do me a favor and broadcast the value rating of 45,Asking_for_information
yes i believe,Providing_information
why i immediately asked if they changed their last broadcasted values from excellent,Asking_for_information
i have a not,Providing_information
increasing the value of a bearingoffset presents two main adverse cases where me mass increases decreases and factorofsafety size decreases so i mass p tending roughly towards bearingoffset equals down to minus 60,Providing_information
hey your looks... like as our factorofsafety went up what actually changed?,Asking_for_information
we have excellent quality right now,Providing_information
who s factorofsafety changed,Asking_for_information
it affects the design variable or bearingoffset which possibly the length axis of the bearing may support offset,Providing_information
If it s important  increasing  flywheelthickness  increases mass but decreases factorofsafety,Providing_information
so i was looking at what factor l of average safety weight weight range is actually excellent and trying out to get the lowest mass with a high factor of safety around 2,Providing_information
i just lowered writing it over to 25 plus 23 that really is low for the crankshaft,Providing_information
okay we re still above a factor of safety of  2  thought so don t worry about it,Providing_information
what are your current values ?  Parameters you chose,Asking_for_information
oops my sorry it s tonight at 80,Providing_information
Can you max out the flywheeldiameter value to see what happens ? ,Providing_information
what was the flywheel thickness used ? ,Asking_for_information
think i has optimized only my part with mass equals 14 to 52 cm and factorofsafety equals to mach 2 and 01,Providing_information
now but if... i increase the thickness i could make it a better lot higher,Asking_for_information
have you changed down the suspension system anything at all? our quality has dropped,Asking_for_information
we are at excelelent again,Providing_information
i only dropped back my mass by 0 02,Providing_information
thickness of any i - section equals 7 to 3,Providing_information
it also is at a 75 though,Providing_information
you re in charge of the crankshaft bearing offset  right ? ,Asking_for_information
Does increasing the flywheel thickness increase or decrease  bearingoffset  ? ,Asking_for_information
now ok my factorofsafety values range from 1 point to type 8,Providing_information
i know don t change that i may only change by bearingoffset now and then pistonborediameter _ for bearingoffset,Providing_information
I just lowered it to  25   23   That is low for the crankshaft,Providing_information
Hey what mass are you getting ? ,Asking_for_information
Thats my max,Providing_information
mine but still says excellent but this i have not therefore changed anythign,Providing_information
for flywheelthickness  equals to   10    flywheeldiameter  equals to   25  ;  mass  equals to   0   55  and factorofsafety  equals to   5625   56 ,Providing_information
If you increase your pistonborediameter what does that do to mass ? ,Asking_for_information
yeah but 45 should be fine if instead you... dont suddenly want people to go lower,Providing_information
i stop changing,Providing_information
flywheelthickness  equals to   10   flywheeldiameter  equals to   25 ,Providing_information
what you s your first factorofsafety?,Asking_for_information
How does the flywheel thickness factor into the bearing support offset and crankshaft mass ? ,Asking_for_information
just i updated my broadcast mass of mine and is 1 ft 49,Providing_information
flywheelthickness  equals to   10  mm ;  flywheeldiameter  equals to   25  mm ; ,Providing_information
My mass is lowered and my factorofsafety is just above  2 ,Providing_information
i ve also just broadcasted the most recent simulation events but this battle will all definitely not be the next final one,Providing_information
any logical way you can decrease mass,Providing_information
Hey  How does the value of my crank pin diameter affect your design ? ,Asking_for_information
per mine depth is thus optimized as with mass equals to 0 12 b and single factorofsafety equals to 3 44 when you already have the pistonborediameter equals equal to 40,Providing_information
flywheel changed a value and by i had lost 5 lb lbs,Providing_information
drivers increasing their flywheeldiameter load will increase ship mass and factorofsafety,Providing_information
thickness is flywheelthickness  equals to   10 ,Providing_information
What s keeping the piston bore from being minimized to  75   if I may ask ?  I think we were hitting an  excellent  rating when it was at  75  earlier ,Asking_for_information
thickness of I-section  equals to   3 ,Providing_information
 40  works for me,Providing_information
mine is mass of  6   33  and factorofsafety of  2   23 ,Providing_information
how does increasing the flywheel thickness also factor into with the shaft bearing support plate offset and crankshaft mass?,Asking_for_information
just slightly updated relative to flywheelthickness this equals to mach 10 flywheeldiameter it equals to 15 kw and shaved 03 kg at limited build cost,Providing_information
even our quality record is back down still to good what changed?,Asking_for_information
It increases pretty fast,Providing_information
either is there a bore of diameter you are set on? or they are all you still experimenting?,Asking_for_information
what seems to be the ideal piston bore diameter on your end ?  Could you explain how it affects mass and factorofsafety ? ,Asking_for_information
per flywheelthickness equals 3 to 10 flywheeldiameter performance equals to track 25,Providing_information
overall factorofsafety is  1   7 ,Providing_information
What does changing that do ? ,Asking_for_information
update the broadcast,Providing_information
bearingoffset equals to  60   dc equals to  15 ,Providing_information
does changing any other s parameters help bring your mass down ? ,Asking_for_information
I don t think that was my doing  I have been broadcasting factorofsafety values around  8 ,Providing_information
Think I optimized my part with mass  equals to    52  and factorofsafety  equals to   2   01 ,Providing_information
i chose from the next smallest values to give smallest potential weight on my end,Providing_information
someone just broadcasted somethhing different and raised our mass to  3   25 ,Providing_information
thats as low as I have gotten it,Providing_information
it depends heavily on piston diameter,Providing_information
yes  currently it is at  2   27 ,Providing_information
just updated with my broadcast mass rating of mine is 5 1 49,Providing_information
gee hey how does the value of limiting my crank pin wheel diameter affect... your design?,Asking_for_information
i guess what was i mass saying today is if you can only marginally increase mass to this increasing factorofsafety more yet noticeably that you might not be a better new compromise,Providing_information
based overall on bearingoffset equals to level 60?,Asking_for_information
Who has the factorofsafety of   57  ?  we need to work on increasing that,Asking_for_information
any factorofsafety higher than  2  gets us nothing more  we need to drop mass,Providing_information
min of episode 40,Providing_information
just what where s keeping the piston bore up from being automatically minimized to 75 degree if i may ask? i think perhaps we were hitting an excellent rating base when it itself was at around 75 earlier,Asking_for_information
his 45 seems decent,Providing_information
but i don t know when but mine is their best at 105,Asking_for_information
where im at a factorofsafety of just over 2 weeks so maybe i just think i mass good unless we need people to cut you more cell mass,Providing_information
i have mine with the factorofsafety closest to  2  and lowest mass i can get,Providing_information
Increasing flywheeldiameter will increase mass and factorofsafety,Providing_information
is your mass and factorofsafety,Asking_for_information
is your mass high ? ,Asking_for_information
no i don t t think so,Providing_information
just updated to flywheelthickness  equals to   10   flywheeldiameter  equals to   15  and shaved   03 kg at limited cost,Providing_information
i also don or t know then what has changed ill rebroadcast what i have had when we originally were good,Providing_information
i didn t ever change over it from when it said excellent for catching me,Providing_information
I have now   I canchange it back,Providing_information
Can you send me your current values ? ,Asking_for_information
In that case it would be more valuable to keep the lower flywheeldiameter value to conserve mass,Providing_information
said yes i believe,Providing_information
I am trying but it lowers my factorofsafety as well  I ll see if I can do anything furhter,Providing_information
if any you just increase by your hand pistonborediameter what does that do to mass?,Asking_for_information
If I reduce my mass by   03   it reduces factorofsafety by   25  to  1   76 ,Providing_information
right around now i have a weighted total mass ratio of at 1 49 c and factorofsafety of 4 55 which therefore appears to be really good data via rubric,Providing_information
Hello  Have you determined what you would like the piston bore diameter  pistonborediameter  to be ? ,Asking_for_information
Have you broadcasted your most recent design ? ,Asking_for_information
looks like we re done ? ,Asking_for_information
seems like it,Asking_for_information
ok our current broadcast is  excellent  so are we done here ? ,Asking_for_information
ok our current broadcast is  excellent  so are we done here ? ,Asking_for_information
ok our current broadcast is  excellent  so are we done here ? ,Asking_for_information
what range of factorofsafety  s are you getting ?  mine are in the hundreds so it s not the limiting system,Asking_for_information
Our quality is back down to good  What changed ? ,Asking_for_information
Our quality is back down to good  What changed ? ,Asking_for_information
Our quality is back down to good  What changed ? ,Asking_for_information
what factorofsafety  s are you getting ? ,Asking_for_information
what factorofsafety  s are you getting ? ,Asking_for_information
whoever changed please go back,Asking_for_information
what variables do you use ? ,Asking_for_information
is that best case or worst case ?  my numbers are in the hundreds so we can play with flywheeldiameter if you use that,Asking_for_information
do we just sit here now ? ,Asking_for_information
do we just sit here now ? ,Asking_for_information
Does the flywheel shaft diameter  flywheeldiameter  affect any variables in your control ? ,Asking_for_information
Does the flywheel shaft diameter  flywheeldiameter  affect any variables in your control ? ,Asking_for_information
Does the flywheel shaft diameter  flywheeldiameter  affect any variables in your control ? ,Asking_for_information
Have you messaged the others about this yet ? ,Asking_for_information
do you think I should try and increase those ? ,Asking_for_information
what s your mass and factorofsafety,Asking_for_information
how can you maximize factorofsafety and we can work around that maybe ? ,Asking_for_information
Done,Asking_for_information
Alright  thank you ,Asking_for_information
Alright  thank you ,Asking_for_information
Alright  thank you ,Asking_for_information
our mass seems to be going up  are you using the original values ? ,Asking_for_information
our mass seems to be going up  are you using the original values ? ,Asking_for_information
Are you having troubles with factorofsafety ? ,Asking_for_information
your individual mass ? ,Asking_for_information
have you been changing anything from when it was at excellent ? ,Asking_for_information
how much weigh tcan you trim generally ? ,Asking_for_information
What mass are you at ? ,Asking_for_information
We need to figure out who has the highest mass and factorofsafety,Asking_for_information
Hello  is your factorofsafety above  1   5  ? ,Asking_for_information
earlier we had pretty good results with a bore diameter of  75 mm  should we give that a try again ? ,Asking_for_information
What variables do you have listed under Key Design Variables ?  I have  pistonborediameter   bearingoffset   flywheelthickness  and  flywheeldiameter ,Asking_for_information
what s your factorofsafety ? ,Asking_for_information
what s your factorofsafety ? ,Asking_for_information
did you already push your broadcast ? ,Asking_for_information
because mine still read as excellent when my diameter was at  80 ,Asking_for_information
those are the same for me  Can you see any other variables ?  I can only see those  4 ,Asking_for_information
What weight are you at ? ,Asking_for_information
whats your factorofsafety,Asking_for_information
whats yours,Asking_for_information
can you trim a tiny bit more ? ,Asking_for_information
are you limited by pistonborediameter to determine L ?  we may be able to increase pistonborediameter and reduc eL for a weigh tsavings ,Asking_for_information
alright  guess no then,Asking_for_information
but you can t change that right ? ,Asking_for_information
sounds good but do you have any more room to reduce mass ?  I mass about the smallest I can make my parts,Asking_for_information
thank you ,Asking_for_information
