,full_text
548,we are currently at very good  are anyones values different from what they were when we were at excellent ? 
549,we are currently at very good  are anyones values different from what they were when we were at excellent ? 
550,we are currently at very good  are anyones values different from what they were when we were at excellent ? 
551,yep
552,wait what
553,not me
554,I can probably drop down by another  0   01  or  0   02  if necessary
555,flywheelthickness increases mass 
556,I ve been trying to ask them about what keeps them from minimizing pistonborediameter  but I haven t gotten any response 
557,pistons mass is  0   52  with a factorofsafety of  2   01 
558,Ok
559,though i guess it s more efficient mass than the shaft
561,lets try that
562,I can ask but I mass worried not everyone s was updated
563,I still see the total mass of  2   84 
564,mine are actually better than when it was excellent
565,I see  2   73 
568,yeah nope
569,well  update your broadcast
570,lmk when you do
571,Mine are  but i have not made any drastic changes since  Your lowering of flywheeldiameter helped me shave off  2  more lbs
572,Alright  I know that increasing it hurts the piston-pin design  so I will slightly increase and we can see what happens
574,i can increase by  1  pound and factorofsafety also goes up by  1  which is a lot  can anyone lose a lot of mass with a small decrease in factorofsafety ? 
575,Ok
576,i can increase by  1  pound and factorofsafety also goes up by  1  which is a lot  can anyone lose a lot of mass with a small decrease in factorofsafety ? 
577,i can increase by  1  pound and factorofsafety also goes up by  1  which is a lot  can anyone lose a lot of mass with a small decrease in factorofsafety ? 
578,someone just broadcasted somethhing different and raised our mass to  3   25 
580,someone just broadcasted somethhing different and raised our mass to  3   25 
581,someone just broadcasted somethhing different and raised our mass to  3   25 
583,we can optimize bearingoffset and flywheelthickness looks like
584,Can we try to increase factorofsafety beyond  2   01  ? 
585,Looks like they re working with  75  right now  but just forgot to broadcast 
586,Looks like they re working with  75  right now  but just forgot to broadcast 
587,awesome  have you noticed that based on the chart we should be in excellent with our current values ? 
588,What about flywheel thickness  flywheelthickness  ?  I noticed a change in  flywheelthickness  that I didn t broadcast
590,as long as your factorofsafety  greater than   2  it doesnt matter
591,yeah check again  thats me  funny relations with crankshaft
592,it s corrected
593,yeah they changed it back they doubled the diameter of the flywheel
595,I let them know
596,I think that doing that effects the other designs as well
597,factorofsafety is just whoever has the lowest value
598,I let the mknow
599,yeah  I see the change now
600,oh right
601,I think the chart on the board is correct while the one in the packet is wrong
602,ok awesome
603,ahh  its changed for me
604,what values are you suggesting ? 
605,did you change your broadcasted value ? 
606,Actually we re only at  2   84 
607,no
608,my factorofsafety is still  700  so we can trim something on my end
609,No  that does not affect it either
610,it s corrected now
611,yeah they won t respond to my chats either
612,like a higher bearingoffset
614,also i forgot factorofsafety is just the minimum value not an average
615,Ok  just making sure  thanks
616,If the piston engineer increases bore diameter we can increase our factorofsafety
617,sure give me a second
618,mine s still showing  80 
619,have you talked to the crankshaft ? 
620,yeah
621,idk if it helps mass though  does it ? 
622,oh alright
623,I double checked the handout and yeah  it s only dependent on lower factorofsafety
624,Who s in control of bore diameter ? 
625,something changed
626,mass went up quite a bit on my end
627,How much does our weight go up if you increase pistonborediameter ? 
628,Or rather  what affects it
629,did you change your value ? 
630,What s the best you can do with a flywheel shaft diameter of  45  ? 
632,even with max bearingoffset i still have factorofsafety  equals to   300 
633,i havent changed anything
634,k  maybe not then
635,working with them now
636,i haven t either
637,piston
638,Not for a little bit  did something change for you ? 
639,yeah change it back
641,yeah
642,its the current broadcast 
643,Also lol looking back at my simulations  minimizing pistonborediameter actually increases my mass
644,Looks like our factorofsafety went up
646,what changed ? 
647,factorofsafety went up to  2   22  and mass went up to  37   56  from  35   something
649,I just increased it by  2  mm and we are still slightly below our mass requirement
651,Go fast theyre giving out the money
652,Go fast theyre giving out the money
654,Bore diameter increased
655,Go fast theyre giving out the money
656,And a thickness of  12  ? 
657,that wasn t me  I am trying to shave off that little bit
658,We re still seeing  80  as the globally broadcast value  Weird 
659,i mass going to reduce flywheelthickness and see if we can minimize both
660,i have mine with the factorofsafety closest to  2  and lowest mass i can get
661, of mass
662,Nice 
663,generally our factorofsafety is fine  we need to decrease mass
664,i have mine with the factorofsafety closest to  2  and lowest mass i can get
665,Our factorofsafety went up
666,hahahahaa
670,i have mine with the factorofsafety closest to  2  and lowest mass i can get
671,Whats the best you can get with a bore diameter of  80  ? 
672,You re right 
673,I increased the bore diameter and that seemed to help the factorofsafety
674,Ok  We need to try to decrease mass
675,It s been good working with Yall
676,It s been good working with Yall
677,It s been good working with Yall
678,It s been good working with Yall
681,same here  any small decrease in mass lowers factorofsafety by a lot for me
682,don t put it at whatever it was at for when it read excellent
683,Let me decrease my thickness a bit
684,okay
685,stop changing
686,i mass not
687,stop changing
688,yee it has been good working with you as well
691,i haven t changed anything
692,we are in excellent 
693,we are in excellent 
694,we are in excellent 
695,we are at excellent again
696,we are in excellent 
697,I still see  40 
699,yep
700,don t change
703,They said they pistonborediameter broadcast it  but yeah  still  80   IDK what s going on 
704,ggs
705,ggs
706,ggs
707,ggs
708,you change let me lose  5  lbs  Thanks fellow engineer 
709,yesss just the handfull of cash
710,good working with ya
711,good working with ya
712,Sorry for the abrupt message
714,nope you re good
715,flywheel changed a value and i lost  5  lbs 
716,we re at excellent
717,we re at excellent
718,Oh wait we hit excellent
720,wow 
721,awesome job
722,It says currently broadcasting  42  on my end
723, 
726,Good working with you too
727,Ok  I decreased my weight a little bit
728, Your change  I got typing too fast
730,That s odd  I see  40   but I will change it to  42 
731,gg
732,Thanks  good job 
733,gg
734,gg
736,thanks  you too 
737,bearingoffset equals to  60   dc equals to  15 
738,TA is saying time is up
740,Good job 
741,Time is up i believe
742,dc is the weight variable for me
744,thanks   :  
745,time is up i believe
746,you too 
748,We ve got a  Good  engine
749,time is up i believe
750,good job 
751,good job 
752,We ve got a  Good  engine
754,Wanna call it ? 
755,okay we got excellent  we should be done here
756,nice work
757,Wanna call it ? 
758,nice work 
760,you too 
761,nice work 
762,I already got paid haha  although they said if you keep improving it we can get more even afterwars
763, afterwards
764,not yet
765,I think we can keep going
766,Yep just got paid
767,we should probably stop adjusting our values  we got excellent now and its going to be hard to make it any better
768,hello ? 
769,hey  whats the size of the piston bore ? 
770,hey
771,Currently the size is  40 
773,hello
774,Hey  can you send me the crankshaft bearing offset ? 
775,hello
776,hello
777,hello
778,Hi  :  
779,Currently the Piston Bore Diameter is  40 
780,what are your design variables ? 
781,what are your design variables ? 
782,what are your design variables ? 
783,what are your design variables ? 
784,Hey  I am going to need the flywheel shaft diameter and the thickness of the flywheel  Do you have any possible numbers
785,Have you made any progress on the piston diameter pistonborediameter ? 
786,hello ? 
787,hello ? 
788,Flywheel Thickness and Flywheel diameter
789,hi
790,hello ? 
791,Thanks  :   I ll work with that for now  let me know if you end up making any final changes
792,working on it
793,Hey  I am going to need the piston bore diameter  Do you have any possible numbers ? 
794,hey
795,I was going to start out with  70   Can you provide the flywheel shaft diameter ? 
796,mine are piston diameter and head thickness
797,will let you know in few minutes
798,Sounds good
799, 30  at the moment  but haven t run many yet
800,Hello  Crankshaft bearing offset :   150   0   Crankshaft-pin diameter :   50   0 
801,Do you have an idea of what value you re going to begin with for your bore diameter ? 
802,They are t _ I and r _  1  
803,What is your current bearing offset ? 
804,What are yours ? 
805,I need to find the optimum value for that  Assume it to be  25  for now
806,What is the bearing support offset you are using ? 
807,I mass starting with  40 
808,does your design require any spesific value for piston diameter
809,what is your mass when you maximize your flywheel diameter and thickness
810,Also  do you have an idea for the thickness value ?  Or an assumed value I should begin with ? 
811,I mass not sure any of your variables affect the piston pin ? 
812,will let you know in few minutes
813,For connecting rod design  I need to know your piston bore diameter
814, 130 
815,mm
816,I am going to try  160   The larger the offset the larger the mass and smaller factorofsafety
817,What piston diameter are you using that works well ? 
818,what is your mass and factorofsafety when you maximize both your design variables
819,diameter is  90 
820,mine are piston diameter and head thickness
821,piston  Me what is your mass and factorofsafety when you maximize both your design variables
822,diamater is  90 
823, 3   21 
824,Do you want a lagre mass ? 
825,Don t know if this matters to you  but the connecting rod I section is  2  mm and the ratio of length between the connecting rod and crank length is  3 
826,whats the corresponding factorofsafety ? 
827,Ok  I don t think so either  but sent just in case
828,Do you need anything from me ? 
829,you have one that works well for you ? 
830,Hello  what is the piston bore diameter ? 
831,it requires piston bore diameter  any range from  75  to  105 
832, 75  mm
833,so If i maximize both my design variables
834,all good
835,thanks
836,Thanks
837,i used  40 mm
838, 75  mm
839,Hello
840,Nope  let me know if you need anything
841,Need anything from me ? 
842, 75  mm is the bore diameter
843,Thanks  If you need them  Crankshaft bearing offset :   150   0   Crankshaft-pin diameter :   50   0 
844,I mass pretty sure I will leave the thickness at  10  mm
845,ok Ill try that
846,When I use maximum values  the mass is  36   38  and f is  22   95  
847,Does a higher or lower diameter work better for the crankshaft
848,Does a large or small flywheel mass benefit you ?  do you know ? 
849,Nope
850,Does a large or small flywheel mass benefit you ?  do you know ? 
851,Do you have a value for the bore diameter ? 
852,Does a large or small flywheel mass benefit you ?  do you know ? 
853,Hello  what is the flywheel thickness and shaft diameter ? 
854,Does a higher or lower diameter work better for the piston-pin
855,That is when I also use maximum piston bore diameter which is not under my control
856,Does a higher or lower diameter work better for the connecting rod
857,I assume the  30  was for the thickness right ? 
858,No  you ? 
859, 22   4  and  1   5 
860,check for broadcast
861,Large   3852   93 
862,correct
863,and also maximizing all the other variables I need
864,It does not affect my simulation 
865,ill check
866,cool
867,I have not decided on them yet 
868,Smaller works better for my factorofsafety and Mass
869,and my variables are thickness of connecting rod and ratio of length of connecting rod and crank length
870,was given wrong packet to start
871,Thanks
872,Are these affecting your results ? 
873,I mass getting a factorofsafety over  4000  with a thickness of  12   so I think  12   the minumum  is fine
874,Increasing the diameter will increase both factor of safety as well as the mass
875,A higher diameter increases the factorofsafety but also increases the mass  with pistonborediameter equals to  40  im at a mass of  0   1  and factorofsafety  2   77 
876,Ok  Crankshaft bearing offset :   150   0   Crankshaft-pin diameter :   50   0  
877,so don t think I need to make the diameter bigger unless another subsystem does
878,I mass trying to find a happy medium to help maximize the factorofsafety while minimizing its mass
879,Ok thanks
880,so all the values you get are assuming max piston bore diameter ? 
881,Hi  I just wanted to reach out and make sure you did not need anything from me
882,Those do not effect me  I may have a slight say in crank length 
883,Don t think so
884,is it ok to change the diameter value  there is a better alternative
885,is it ok to change the diameter value  there is a better alternative
886,Let me know if you change the bearing offset
887,what are the other variables you need ? 
888,is it ok to change the diameter value  there is a better alternative
889,Hey  I just wanted to ask if you needed anything from me
890, 85  is the updated
891,flywheeldiameter flywheelthickness and pistonborediameter
892,Hey  I mass good for now  thanks  let me know if you need anything from me
893,Hello  what variables do you have control over ? 
894,I think I can work with that
895,Alright  Do you have a value for the flywheel diameter ? 
896,let me know if you change it at all
897,Hey  let me know if you need anything from me
898,Piston bore diamteter
899,Hello  what variables do you have control over ? 
900,I do not
901,Hello  what variables do you have control over ? 
902,for sure  go for it
903,Hello  what variables do you have control over ? 
904,you need values from me ? 
905,what piston bore diameter are you using ? 
906,piston head thickness and piston bore diameter
907,Yea i believe so  what is it ? 
908,Flywheel shaft diameter
909, 40 
910,Thanks for checking in but I am all set in terms of needed values  Is there anything on my end I should send over ? 
911,and Thickness of the flywheel
912,Flywheel Thickness and Flywheel Shaft Diameter
913,are all the values you get assuming you maximize the variables out of your control ? 
914,I used  40  mm which is the minimum value I can use
915,I should be good for now
916,I don t think so  all I need is piston bore diameter
917,going with the minimum to reduce mass because my factorofsafety is so high
918,Thanks  I mass good on my end  Is there anything you need from my end ? 
919,tell me if it s better for you if I use greater value
920,unless you change that at all ? 
921,Yes  that is when I used piston bore diameter of  105 
922,yes
923,I have control of thickness of I-section  conrod lenth and the crank lenth
924,How about you ? 
925,No  I do not need anything
926,I don t think you need anything from me  do you ? 
927,try flyweel thickness as  12   0  and shaft diameter as  60   0 
928,Have you changed the diameter at all ? 
929,Broadcast your most up to date values so we know where we re at  if you haven t done so already 
930,Broadcast your most up to date values so we know where we re at  if you haven t done so already 
931,Broadcast your most up to date values so we know where we re at  if you haven t done so already 
932,Broadcast your most up to date values so we know where we re at  if you haven t done so already 
933,ok conrod s variables also depends on piston bore diameter
934,sure
935,i do not
936,i think you might have to increase it
937,hello  what variable do you have control over ?  and what variable do you need to know that controlled by others ? 
938,i ll set piston bore diameter to max and we can iterate from there
939,Does a large Flywheel mass help you ? 
940,hello  what variable do you have control over ?  and what variable do you need to know that controlled by others ? 
941,tell me if it s better to use greater value because  40 mm is the minimum value
942,hello  what variable do you have control over ?  and what variable do you need to know that controlled by others ? 
943,No at most ill change it by  10   how much would a diameter of  50  affect your mass and factorofsafety
944,crankshaft s variables also depends on piston bore diameter
945,Okay I have piston piston diameter  pistonborediameter  and and piston pin length  l 1   and inner and outer piston pin diameters  di  do 
946,Okay
947,Thanks
948,ill set piston bore diameter to max and we can iterate from there
949,Okay I have piston piston diameter  pistonborediameter  and and piston pin length  l 1   and inner and outer piston pin diameters  di  do 
950,I currently have it as small as possible because that seems beneficial 
951,ok sounds good
952,what value did you decide on ?  nothing updated on my screen
953,Okay I have piston piston diameter  pistonborediameter  and and piston pin length  l 1   and inner and outer piston pin diameters  di  do 
954,i have the crankshaft bearing offset and diameter
955,What is your current factorofsafety ? 
956,nah chat with piston deisgner
957,check for broadcast
958,What is your current factorofsafety ? 
959,What is your current factorofsafety ? 
960,pistonborediameter  equals to   75 
961,I have control over piston head thickness and bore diameter
962,crankshaft bearing offset and diameter
963,What is your current factorofsafety ? 
964,we are using  75  mm rn
965,Okay I have piston piston diameter  pistonborediameter  and and piston pin length  l 1   and inner and outer piston pin diameters  di  do 
966,using  85  and  15 
967,and I have no variables controlled by others
968,using  85  and  15 
969,I dont have any other dependent variables
970,ok cool
971, 2   31 
972, 2   04 
973,pistonborediameter  equals to  75 
974,Actually our mass is already way over  I ll probably keep it the same
975,piston bore diameter affects both crankshaft and conrods  variables
976,yeah  what is it ? 
977,so im going to max piston bore diamter and well iterate from there
978,I have my best values broadcast with   12 kg and factorofsafety equals to  3   44 
979,By how much would be good for you ? 
980,I control Flywheel thickness and Flywheel shaft diameter  I need Crankshaft Bearing Offset
981,pistonborediameter  equals to   75 
982,Where exactly do i check that ? 
983,It s up
984,Projected outputs
985,got  0   1 kg and factorofsafety  equals to   2   77 
986,when pistonborediameter is max
987,it is best for me
988,Nice 
989, 11   11 
990,what about you ? 
991,what values do you have control over ? 
992,What did you choose your diameter to be ? 
993,what is yours ? 
994,basically bearingoffset  equals to   85  and dc  equals to  15 
995,We do not have a crank engineer or con rod engineer 
996,We do not have a crank engineer or con rod engineer 
997,bearingoffset  equals to   85  dc  equals to   15 
998,Are you still at  160  for support offset ? 
999,Haven t heard anything from the crankshaft guy  It seems we ve all broadcast our stuff
1000,those are my values
1001,pistonborediameter is critical to increase the weight for my simulation
1002,I set t _ I  equals to   7   5  and r 1   equals to   4   and the quality turns out to be excellent
1003,so flywheeldiameter doesn t make a difference for my factorofsafety
1004,Im gonna do  150  instead
1005,Make sure to broad cast variables
1006,Let me know if you need me to decrease mass  I can decrease by  0   5  but my factorofsafety goes down by  2 
1007,I believe factorofsafety of  2   31 
1008,Let me know if you need me to decrease mass  I can decrease by  0   5  but my factorofsafety goes down by  2 
1009,make sure to broadcast variables
1010,Let me know if you need me to decrease mass  I can decrease by  0   5  but my factorofsafety goes down by  2 
1011,I chose  40 mm which is minimum value but crankshaft said it s good for him or her if I use maximum value
1012,Let me know if you need me to decrease mass  I can decrease by  0   5  but my factorofsafety goes down by  2 
1013,make sure to broadcast variables
1014,Oh wait nevermind  I don t think we have a piston pin engineer though 
1015,Oh wait nevermind  I don t think we have a piston pin engineer though 
1016, 4000 
1017,However  I cannot do that because it s critical to the weight of piston
1018, 6   45  now
1019,I have control of thickness of I-section  conrod length and the crank length
1020,What is flywheeldiameter ? 
1021,So we do not have piston pin and crankshaft engineers ? 
1022,Actually  2   83   read the wrong one
1023,my mass is pretty low already  But make sure to broadcast variables
1024,Would a larger bore work better for you ?  I could go to about  45  but beyond that  my factorofsafety goes below  1   7   My factorofsafety is currently at  3   44  with a bore of  40 
1025,input shaft wheel diameter
1026,I have a high factorofsafety for everywhere in my combination of ranges
1027,Am broadcasting  150  and  50 
1028,Oh yeah okay 
1029,Way to be on top of things  I won t vote you off the island
1030,what values work best for you
1031,lol
1032,I updated
1033,rightt
1034,yeah Im doing that after every sim  we re already in the very good range
1035,bearingoffset  equals to   85  and dc  equals to   15 
1036,I think we are only missing the piston pin engineer actually  So we cannot optimize that part 
1037,I used  70 mm  Try to update yours
1038,mine shows poor
1039,Hey  just want to make sure that the bearing offset is still  70  mm
1040,piston have control over diameter as well  I need the diameter for my variables
1041,I ve changed the diameter to  53  to try to help with your factor of safety
1042,I don t know how that affects me  but my simulation shows excellent  I think someone isn t broadcasting the right values
1043,Any idea if the piston diameter should change ? 
1044,Do I have any variables that affect your result ? 
1045,I ve changed the diameter to  53  to try to help with your factor of safety
1046,mine shows poor range  Is this same for you ? 
1047,yeah  the diameter
1048,I ve changed the diameter to  53  to try to help with your factor of safety
1049,Piston pin designer said it is in very good range
1050,some one got good quality what where your variables in that
1051,Do I have any variables that affect your result ? 
1052,some one got good quality what where your variables in that
1053,some one got good quality what where your variables in that
1054,some one got good quality what where your variables in that
1055,wait someone changed something and it went way down
1056,I mass trying to test new values  I mass currently trying it with  80 
1057,Whats your mass and factorofsafety ? 
1058,they were the minimum of both
1059,Okay update your pistonborediameter but try to keep it relatively low if possible
1060,Is it good to be maximized or minimized ? 
1061,Whats your mass and factorofsafety ? 
1062,my factorofsafety is best at  40   making it larger decreases my factorofsafety
1063,ok i dont have those values in my test bed
1064,Let me know what you decide
1065,Yeah  I was looking at the factor of safety and realized that with the head so small  the factorofsafety wasn t gonna go up
1066, 4  for head thickness and  75  for piston diameter
1067,yeah
1068,If I hold my variables same  the lower the diameter  the lower the Ms and factorofsafety
1069,My simulation would be excellent  the broadcast was very good and now poor ? 
1070,So  is it good for you to be minimized ? 
1071,ok keep those for now
1072,does a larger bore increase your factorofsafety ? 
1073,my factor of safety is maximized at low bearingoffset values
1074,my variables are t _ I  equals to   7   5  and r 1   equals to   4  
1075,yes
1076,yeah we were at excellent and then someone changed it and now its poor
1077,yes pistonpin said same thing
1078,i ll rebroadcast with those values
1079,i havnt changed anything
1080,what is your fs ? 
1081,mass is  0   54  and factorofsafety is  3286 
1082,yes do that
1083,I havnt changed anything
1084,I had an excellent quality  but with someone s new broadcast  it s not poor
1085,what are your current thickness and diameter ? 
1086,now 
1087,what is your current factorofsafety ? 
1088,with pistonborediameter equals to  53   i got mass equals to  0   13 kg and factorofsafety  equals to   3   18 
1089,My flywheel is as small as possible  flywheelthickness  equals to   12  flywheeldiameter  equals to   40   factorofsafety is still in the thousands 
1090,Yea  but also the weight
1091,Hello
1092,Thanks  I ll run some simulations with those numbers
